tick,tick_dt,input_force,output_ang_vel,output_position,output_speed,output_angle
156.0,0.010408140951767564,4.42029317050665e-05,-1.6773135169458524e-06,-2.3434626104269276e-07,-2.0136601027310488e-07,-1.3772065748760475e-07
157.0,0.009347809944301844,4.4170952826256865e-05,3.413193598845482e-07,-2.3622859223596807e-07,6.289364964665918e-07,-1.533998654610231e-07
158.0,0.01022644096519798,1.7527729086153616e-05,-2.7776685715091e-07,-2.2979681028399403e-07,9.604854355292933e-07,-1.499093831768846e-07
159.0,0.010277143912389874,4.74353748444725e-05,1.9409136461254956e-06,-2.19925763237305e-07,1.3585182316795836e-06,-1.5276403314191674e-07
160.0,0.009152796934358776,-1.5151180519542678e-06,-5.674176166849799e-07,-2.0749152173111763e-07,2.87142116277731e-07,-1.3499924467180419e-07
161.0,0.010546064004302025,3.093741540787325e-05,-8.328634232291987e-07,-2.0446330259452195e-07,7.614962627888177e-07,-1.409832671745325e-07
162.0,0.010564675088971853,5.670222775926201e-05,2.786538854559835e-06,-1.9641834199669176e-07,1.724952070973665e-06,-1.4978219863443783e-07
163.0,0.00938575400505215,-1.1739192967475336e-05,-8.754282385541341e-07,-1.8022836618802768e-07,1.74424732951501e-07,-1.2362843042001942e-07
164.0,0.010225922102108598,3.599320627454841e-05,-8.570120202419946e-07,-1.7844471245618454e-07,7.790519300575634e-07,-1.3258049139346014e-07
165.0,0.01086441008374095,5.853544828483462e-05,1.964966363640704e-06,-1.699807728115093e-07,1.429121545272856e-06,-1.4189142142806446e-07
166.0,0.00875689706299454,1.92451453036269e-06,9.389028156387723e-07,-1.5746610254904722e-07,9.98816554963203e-07,-1.2468441324941613e-07
167.0,0.010739633929915726,1.473616426140141e-05,-1.2819746634185506e-06,-1.4673917838560287e-07,1.1749600616995101e-06,-1.1460094071368856e-07
168.0,0.009895891998894513,8.488460912705359e-05,4.63601638141258e-06,-1.351119005120101e-07,2.569291860459161e-06,-1.2728722352819768e-07
169.0,0.009934725007042289,-3.387067343891501e-05,7.187477428539011e-07,-1.0958669241551626e-07,1.036517149937582e-06,-8.122967565072043e-08
170.0,0.010153423994779587,2.0078675049533423e-05,-1.7520768672114052e-06,-9.906249431433945e-08,-1.6390470813932213e-07,-7.393192507223396e-08
171.0,0.009859245037660003,4.78986325400155e-05,-3.318544670846185e-06,-1.0067847099471118e-07,-8.310995202878633e-07,-9.120608023088689e-08
172.0,0.009914966067299247,7.105744605873432e-05,-3.5234426507627866e-07,-1.0891879453691402e-07,3.2533852049413134e-07,-1.2410933803514355e-07
173.0,0.009924151003360748,3.0456896847913965e-05,-1.946433285762156e-06,-1.0569008593232029e-07,-2.2395968163414036e-07,-1.276060557269287e-07
174.0,0.009838819038122892,5.733391001161946e-05,-1.5328963327683116e-06,-1.0789358471175421e-07,-3.6035724749169425e-08,-1.467566605953215e-07
175.0,0.009992000996135175,5.43065147989104e-05,-1.0794112728755877e-06,-1.0825365370934436e-07,1.2181170699013564e-07,-1.6207336227931442e-07
176.0,0.009969483013264835,4.868313492475471e-05,-2.908707432055072e-06,-1.0703925396568941e-07,-6.045248579271397e-07,-1.7283453462857418e-07
177.0,0.010011001024395227,7.670389930093465e-05,-1.3352304553873672e-06,-1.1309115293767038e-07,8.618089794400176e-08,-2.0195360771054353e-07
178.0,0.010005667922087014,5.925226750493142e-05,-1.948037751628268e-06,-1.1222885549161543e-07,-1.625387670779463e-07,-2.1531348024660653e-07
179.0,0.010080851032398641,6.962565884843905e-05,-1.5602610415461282e-06,-1.1386738458951795e-07,2.0683979928425096e-08,-2.349513586262599e-07
180.0,0.009846096974797547,6.726439372195526e-05,-2.3178456212439487e-06,-1.1366372811731791e-07,-2.8804565300451876e-07,-2.503138401473217e-07
181.0,0.00984787498600781,7.985702953496412e-05,3.635638447936289e-07,-1.1650036569836939e-07,8.7695237245574e-07,-2.731396940621977e-07
182.0,0.010679116938263178,4.6933588586575e-05,-1.7505638334806558e-06,-1.0713528876362723e-07,-5.708400081263621e-09,-2.69257153249122e-07
183.0,0.009859152021817863,7.627348937107474e-05,5.291496558701635e-07,-1.0719156874782976e-07,1.028337544252509e-06,-2.8651622820730404e-07
184.0,0.00978774600662291,4.974209530538362e-05,5.796220525801271e-07,-9.712646205561186e-08,1.2157202132718895e-06,-2.8133704577615496e-07
185.0,0.010131924063898623,5.5034608758108676e-05,-5.920189377871258e-07,-8.480887717179443e-08,5.736030507100532e-07,-2.7546435915365203e-07
186.0,0.009972019935958087,6.571959532193242e-05,-2.77758729249061e-06,-7.908889611478741e-08,-2.661718590245361e-07,-2.8136798380373e-07
187.0,0.010331789962947369,9.963415364425857e-05,-5.119893805068452e-07,-8.183892785627615e-08,6.266946032396594e-07,-3.1006543231349465e-07
188.0,0.009075482957996428,6.959620192393534e-05,-6.845795800171394e-07,-7.615137166470629e-08,6.23598800462689e-07,-3.147119832109597e-07
189.0,0.01084722497034818,7.536144505264856e-05,1.217471179113786e-07,-6.938705518484824e-08,1.8716984379395232e-06,-3.2213777192551204e-07
190.0,0.009883299004286528,9.850126910896842e-05,-0.07888057986456681,-5.08884998768359e-08,-8.328413370417733e-05,-3.2093450875628374e-07
