tick,tick_dt,input_force,output_ang_vel,output_angle,output_position,output_speed
101.0,0.010346096009016037,4.2269712324524234e-05,2.36492698594691e-06,-4.2084930652125994e-08,-1.8447027110772956e-08,1.251627436908076e-06
102.0,0.009343110024929047,-1.92280106373012e-05,1.5385762831496232e-07,-1.9989157621500186e-08,-6.7529342575208625e-09,3.2166892073553773e-07
103.0,0.010725514963269234,9.181531874110488e-06,-5.915290590835528e-07,-1.833895532679494e-08,-3.3028694349531876e-09,4.273649807206407e-07
104.0,0.009831732138991356,3.461017763940852e-05,2.1852745580484455e-06,-2.4154710588134025e-08,8.988685810773569e-10,1.0913319457295022e-06
105.0,0.00981599185615778,-2.0847105346659034e-05,1.9376928930034246e-07,-2.7040733228616914e-09,1.1611374072722974e-08,6.76117728742046e-07
106.0,0.009817731566727161,1.987628250529804e-05,-1.3596304405286207e-07,-8.016984546354314e-10,1.8249316441017632e-08,1.7956648627086083e-07
107.0,0.010590924881398678,1.1589230835613628e-05,-5.611916618331907e-07,-2.241672840845593e-09,2.0151091608329026e-08,-8.007505107128594e-09
108.0,0.009820750914514065,1.7390997420898893e-05,3.690272096584654e-07,-7.752996367011568e-09,2.007245189522522e-08,3.5568135550215095e-07
109.0,0.010214040987193584,4.269533437775283e-06,-1.8466785913026783e-07,-3.9837373221703215e-09,2.370539583870476e-08,4.409724089399331e-07
110.0,0.009476866573095322,2.3164262440832918e-05,-7.744537523525649e-07,-5.733809983487032e-09,2.7884432520644933e-08,-8.441969919532895e-08
111.0,0.009628994390368462,2.1658110979805574e-05,-3.848331434195541e-07,-1.3191020820489686e-08,2.7071555710656516e-08,3.1380237480284467e-07
112.0,0.010487704537808895,2.5639093277517745e-05,-2.1714994651545585e-06,-1.7227037125030204e-08,3.0362622300851515e-08,-6.972850860461227e-07
113.0,0.009977508336305618,4.142716834276053e-05,3.3927361659054225e-07,-3.8893191140893006e-08,2.3405454542044745e-08,1.9080137141547467e-07
114.0,0.009668568149209023,3.037916370441605e-06,-2.8760779735649994e-07,-3.561290105765874e-08,2.5250230604537802e-08,2.3661618981558865e-07
115.0,0.010815348476171494,2.2577687526901117e-05,2.8701950656924113e-07,-3.87234796105334e-08,2.7809317152497333e-08,6.301180222211447e-07
116.0,0.009789769537746906,2.0705888306630733e-05,1.7235219939894426e-06,-3.59136247883827e-08,3.3978027371623225e-08,9.839034180877557e-07
117.0,0.009813140146434307,-8.070396473636584e-06,2.454967284168069e-07,-1.900046191590239e-08,4.363320950387412e-08,8.237694618531416e-07
118.0,0.009534070268273354,2.7497758834374204e-05,-7.998122768015311e-07,-1.665987885654533e-08,5.1487085438039694e-08,-9.468962590049364e-08
119.0,0.010585518553853035,2.4670035970921797e-05,-3.9810597272125926e-07,-2.512630655222738e-08,5.0484746646212616e-08,2.644021461597805e-07
120.0,0.009440571069717407,2.6991464999637597e-05,1.2330786519208856e-06,-2.8884654280981408e-08,5.298085389801983e-08,7.645547818760334e-07
